SoilTemp_10cm,SoilTemp_20cm,SoilTemp_40cm,SoilTemp_80cm,SoilHeatFlux_DiffVolt1,RZT,TimeOfDay,Optimized_RZT
17.32183185895137,18.10809204425286,14.35919082730362,14.93591242741079,-0.2192,17.358768311744583,Morning,20.49505846466887
17.32659365199801,18.11041001359274,14.35856928667818,14.93650884394568,-0.23159,17.363413585164327,Morning,20.49505846466887
17.36571224073793,18.13076048620568,14.34536660624916,14.93784240855915,-0.25604,17.40163603419914,Morning,20.49505846466887
17.40648875052732,18.1546849039128,14.33103951647567,14.93920302831224,-0.2777,17.44160693567055,Morning,20.49505846466887
17.45019999951796,18.17930835915229,14.31596003539667,14.94057613648359,-0.28922,17.48440612530349,Morning,20.49505846466887
17.43922166736215,18.17330823723177,14.32087981224363,14.94085490756931,-0.30621,17.473665730085536,Morning,20.49505846466887
17.42824331869325,18.16740449051996,14.32569485578465,14.94113376629437,-0.32321,17.462929876969984,Morning,20.49505846466887
17.417264952963,18.16112591815137,14.33038707288503,14.94141271753521,-0.3402,17.45217621882218,Morning,20.49505846466887
17.58845797378057,18.25468045367465,14.26254292202321,14.94531436733272,-0.54779,17.619659502180355,Morning,20.49505846466887
17.7573914191769,18.33781679927665,14.18958541047136,14.94927528314631,-0.82194,17.784495990740606,Morning,20.49505846466887
17.9232113586667,18.42100928287784,14.11633821037639,14.95310861268349,-1.00638,17.946369610777246,Morning,20.49505846466887
17.82964850432163,18.37371462357653,14.15950670988401,14.95171637023912,-0.9337,17.855016879957894,Afternoon,20.49505846466887
17.73325238142585,18.32641992694943,14.20267538665778,14.95027485773362,-0.84537,17.760965566312606,Afternoon,20.49505846466887
17.63701315426017,18.27912523032234,14.24584414287395,14.94879033964108,-0.72434,17.66706368992223,Afternoon,20.49505846466887
17.58773505536128,18.25498525613565,14.26804230330992,14.94829440680735,-0.66468,17.618986049983533,Afternoon,20.49505846466887
17.53765971574614,18.22906745422222,14.28956913094652,14.94780207886408,-0.62753,17.570064684399988,Afternoon,20.49505846466887
17.48758435700249,18.20157420505516,14.31129011361616,14.94730984322631,-0.59036,17.52106861523973,Afternoon,20.49505846466887
17.45727194862052,18.18492115127397,14.32381571639242,14.94720068488718,-0.56532,17.491408972868374,Afternoon,20.49505846466887
17.42700425083595,18.16758197468629,14.33534350218075,14.94709161396285,-0.56384,17.461759262214187,Afternoon,20.49505846466887
17.39805386785203,18.15087138318852,14.34645260323554,14.94698853917423,-0.57123,17.433394002536314,Afternoon,20.49505846466887
17.70561922601216,18.31369690636896,14.22214870377788,14.95366154555484,-0.96956,17.73404499101065,Afternoon,20.49505846466887
18.01075560186498,18.46460275344191,14.08853691501021,14.96025056038497,-1.33162,18.03181613707733,Afternoon,18.03181613707733
18.29578224135427,18.61610562664311,13.95466156256524,14.96675241698506,-1.59998,18.310461800436457,Afternoon,18.310461800436457
18.38047962468988,18.66254235249283,13.91475147610964,14.9690639560289,-1.69694,18.393330205154847,Afternoon,18.393330205154847
18.46517699465938,18.70897915299414,13.87484166502021,14.97137558381833,-1.79389,18.4761986007149,Afternoon,18.4761986007149
18.54909840395448,18.75541602814705,13.83493090625592,14.97368730283196,-1.89084,18.558327926525436,Afternoon,18.558327926525436
18.5279197362681,18.74327290115384,13.84682655365645,14.97370067390583,-1.91005,18.53758161455143,Afternoon,18.53758161455143
18.50666330908915,18.73112992346383,13.8587211555797,14.97371415100897,-1.92927,18.516761246560478,Afternoon,18.516761246560478
18.48505640380962,18.71898687112222,13.87061603295426,14.97372770707644,-1.94849,18.49560705793404,Afternoon,18.49560705793404
18.40964573770088,18.67799112674905,13.90819045523846,14.97259404655645,-1.95162,18.42184163836768,Afternoon,18.42184163836768
18.33423587373266,18.63699530772428,13.94576490840409,14.97146047242001,-1.95475,18.348076979273436,Afternoon,18.348076979273436
18.25882599806215,18.59599963800271,13.98333949031743,14.9703269945316,-1.94311,18.27431231612834,Afternoon,18.27431231612834
18.21664632341706,18.57272207636329,14.00528243733988,14.96988922250301,-1.92786,18.23303652253157,Afternoon,18.23303652253157
18.17446623297683,18.54953140918006,14.02720056268158,14.96945154183187,-1.91259,18.191764450549105,Afternoon,18.191764450549105
18.13228627397856,18.52634070467102,14.04903995377733,14.96901394761094,-1.89732,18.150492492735456,Afternoon,18.150492492735456
18.04417490230578,18.48162738553555,14.0900077768126,14.96771519820252,-1.83496,18.06445424211094,Afternoon,18.06445424211094
17.95224466071927,18.43691395442269,14.13097558193465,14.96641653897059,-1.7726,17.97477865709687,Afternoon,20.49505846466887
17.86007451572556,18.39220067261301,14.17194354039353,14.96511791576873,-1.69988,17.884874580264004,Afternoon,20.49505846466887
17.7943957389742,18.36001415234149,14.20138088985083,14.96428946943997,-1.58141,17.82079519661189,Afternoon,20.49505846466887
17.73005352955716,18.32782770672156,14.23081841714886,14.96346781848611,-1.48177,17.757988846327653,Afternoon,20.49505846466887
17.66610181651147,18.29570064644518,14.26042174940659,14.96264625900647,-1.38433,17.695557264619747,Afternoon,20.49505846466887
17.5873380669514,18.2578861797783,14.29400119049636,14.9615413633996,-1.24401,17.61874854751077,Evening,20.49505846466887
17.50796499602954,18.21333039417046,14.32628338499524,14.96043881999521,-1.09319,17.54103964702358,Evening,20.49505846466887
17.43061556549424,18.17056815045003,14.35463023645017,14.95936231348173,-1.08732,17.465342775144197,Evening,20.49505846466887
17.3621960571144,18.13235560415464,14.38070691975268,14.95848328985396,-1.18858,17.39836679735541,Evening,20.49505846466887
